Company,Product Name,Product Category,Label,Source,Original
Beauty Pro,HYALURONIC ACID Hydrating Facial Sheet Mask - 100% Biodegradable,Face Mask,"lock in essential hydration with our hyaluronic acid facial sheet mask. this plant based formula uses chamomile, soybean and wild rose to help you to achieve healthy, supple and radiant skin. the sheet mask uses our new 100% biodegradable packaging. once opened, our new eco pouches begin to biodegrade immediately, taking just 1% of the time compared to traditional plastic. that’s 500 years down to 5 years with no trace of microplastics in the soil or sea! this environmentally friendly biodegradable material can be disposed of in general waste, recycling bins and home composts - it will biodegrade in all environments. the sheet mask itself is constructed with bamboo fibres, which not only minimise skin sensitivity but also makes the mask biodegradable. this 15 minute hyaluronic acid treatment promotes hydration in your skin to ensure that it can efficiently renew cells, soothe redness and prevent breakouts. this results in skin that feels nourished and looks conditioned.",https://www.beautypro.com/collections/face-masks,y
Beauty Pro,DETOXIFYING Bubbling Cleansing Sheet Mask with Activated Charcoal,Face Mask,"The BeautyPro Detoxifying Sheet Mask is self-foaming and bubbling with intense deep pore cleansing. The foaming cleansing sheet mask contains Activated Charcoal that will target blackheads and reduce oil to help balance your skins natural oils. Packed with natural ingredients, the rich AHA complex created from Lime, Lemon, Apple, Orange and Grapefruit will leave your skin feeling clean, fresh and rejuvenated. As well as detoxifying and cleansing skin properties, the mask will also help to boost skin firmness, improving skin clarity, tone and elasticity. The Detoxifying Charcoal Mask is perfect for use as a pre-treatment before one of our hydrating sheet masks to leave your skin feeling free of impurities and refreshed. The mask is PETA approved, contains natural ingredients and is biodegradable. Our Foaming Cleansing Mask is 100% Plant Based and certified by the Vegan Society.",https://www.beautypro.com/products/detoxifyiong-foaming-face-mask-activated-charcoal,y
Beauty Pro,VITAMIN C Brightening Daily Serum 30ml,Serum,"The BEAUTYPRO VITAMIN C Daily Serum harnesses the power of Blueberry, Yuzu Citrus and Sea Buckthorn to leave your skin feeling hydrated and firmed, with a natural glow. Rich in Vitamin C, this serum uses Blueberry to provide vital nutrients to the cells, brightening the complexion and combating the signs of tiredness. The fruit also helps to reduce redness, even the skin tone and minimize the appearance of hyperpigmentation and under eye circles. The BEAUTYPRO VITAMIN C Daily Serum is 100% Plant Based, delivering a powerful natural formula in recyclable packaging. 10% Vitamin C.",https://www.beautypro.com/products/brightening-vitamin-c-daily-serum-30ml,y
Beauty Pro,HYALURONIC ACID Hydrating Daily Serum 30ml,Serum,"The BEAUTYPRO HYALURONIC ACID Hydrating Daily Serum harnesses the power of Soybean and Chamomile to lock in moisture and provide deep nourishment to the skin. Our Hyaluronic Acid is non-synthetic and naturally derived from Soybean, yielding the benefits of deep hydration to promote healthier, more supple skin. Hyaluronic acid particles can hold up to 1000 times their weight in water, making it the perfect way to lock in moisture to the skin and keep it looking nourished and smooth. Once your skin is hydrated, it will be much more efficient at cell renewal, anti-ageing and improving the skin’s texture. 2% Hyaluronic Acid",https://www.beautypro.com/products/hydrating-hyaluronic-acid-daily-serum-30ml,y
Beauty Pro,FOOT SERUM,Serum,"For when your feet need a little TLC! This renewing Foot Serum uses AHAs and Enzymes to break down dead skin cells and rejuvenate the skin to leave your feet feeling softened and refreshed. This powerful natural formula is 100% plant based, using skin benefits provided by Pumpkin, Bergamot and Ivy to hydrate, soothe and protect the skin on your feet. If you have noticed they have become dry or rough, this refreshing Foot Serum will help you to nourish the skin back to full health.",https://www.beautypro.com/products/foot-serum,y
Beauty Pro,FOOT & CALLUS PEEL with over 16 Botanical & Fruit extracts,Body Care,"The BeautyPro Foot & Callus Peel is full of powerful ingredients including an advanced complex of 16 natural plant botanicals which work to gradually remove dead and rough skin over 7 days. This foot peel are perfect for prepping your feet for summer or if you simply need a more intense treatment to leave your feet feeling softer and revitalised. Whether you have a callus on your foot or your skin just feels a little rough and in need of rejuvenation, this renewing treatment will do the job. The Foot & Callus Peel treatment works over 90 minutes so you can sit back and relax while the booties work their magic. The feet peeling may start the next day but typically takes a few days before you see the dead skin beginning to come away. The Salicylic and Glycolic Acid work to exfoliate and dissolve the dead skin cells while encouraging the generation of new cells and the vast assortment of natural fruit extracts will calm and hydrate the skin. This product is vegan, as registered by the Vegan Society.",https://www.beautypro.com/products/foot-callus-peel-dead-skin-remover-fruit-extracts,y
Beauty Pro,HAND THERAPY Glove with Removable Finger Tips,Body Care,"The BEAUTYPRO Hand Therapy Gloves are the perfect solution to dry hands - especially for those winter months when the skin is more susceptible to dryness. This 20 minute treatment will deeply nourish and moisturise the hands, leaving them feeling soft and supple. Moisturising Nourishing Hydrating Anti-ageing Packed full of powerful natural extracts: Star Anise, Olive and Apple, this formula is extremely effective in softening and rehydrating the skin, resulting in strengthened and softened skin. Star Anise has moisturising and anti-inflammatory properties which makes it perfect for use on dry, irritated skin. Olive aids this process through deep hydration, reducing the appearance of fine lines and puffiness. Apple is also a natural exfoliant so helping you to achieve soft, smooth hands. These 100% vegan therapy gloves also offer removable fingertips to allow for use during a manicure or while you work.",https://www.beautypro.com/products/hand-therapy-collagen-hand-mask-removable-finger-tips,y
Teapigs,liquorice and mint,Tea,our packaging tea temple made from plant starch - pop in your commercial compost collection inner bag made from wood pulp - pop in your home compost outer carton made from sustainable paperboard - recycle me loose pouch non-recyclable so try to re-use me!,https://teapigs.com/collections/our-top-picks/products/liquorice-and-mint,y
Teapigs,watermelon and hibiscus cold brew,Tea,our packaging tea temple made from plant starch - pop in your commercial compost collection inner bag made from wood pulp - pop in your home compost outer carton made from sustainable paperboard - recycle me,https://teapigs.com/collections/cold-brew-tea/products/watermelon-and-hibiscus-cold-brew,y
Teapigs,eva solo water bottle,Water Bottle,"This eva solo bottle can be used for hot or cold drinks, perfect for chucking in your bag, keeping at the office or for a workout. It's totally watertight and can be refilled over and over again, meaning there's no impact on the environment!",https://teapigs.com/products/eva-solo-water-bottle,y
Teapigs,mao feng green tea,Tea,"Wonderful liquorice! It's been used for centuries in traditional Chinese medicine, it's hugely popular with the Dutch and it tastes so much better with peppermint than in sherbet dips. That's why we've blended pure liquorice root with whole peppermint leaves - it's naturally sweet, unexpectedly refreshing and irresistibly moreish. our packaging tea temple made from plant starch - pop in your commercial compost collection inner bag made from wood pulp - pop in your home compost outer carton made from sustainable paperboard - recycle me loose pouch non-recyclable so try to re-use me!",https://teapigs.com/products/mao-feng-green-tea?pr_prod_strat=jac&pr_rec_id=cb10ab9b0&pr_rec_pid=3938228863051&pr_ref_pid=3938225881163&pr_seq=uniform,y
Cheeky Nibble,Cherry Bakewell Granola,Cereals,"Almond flavoured granola clusters with sour dried cherries. The chunky, snackable pieces are made with a natural flavouring which tastes LIKE almond but is actually 100% Peanut and Nut Free. Allowing those with Nut allergies to safely enjoy the iconic taste of a Bakewell Tart in granola form! VEGAN | GLUTEN FREE | NUT FREE | SOY FREE | DAIRY FREE Made in a Peanut and Tree Nut Free environment. All Ingredients used in Cheeky Nibble are 100% Vegan, meaning they are not derived from animals. Vegan products on average have far lower environmental impact than animal products and are cruelty-free, making Cheeky Nibble not only a delicious choice, but an ethical one. My Cartons are Carbon Balanced in association with the World Land Trust Association. This means the carbon impact of our Carton production have been estimated and an equivalent amount of carbon dioxide is either prevented from being released into, or is absorbed from, the atmosphere. Furthermore they are made from Natural Organic fibres and as such are 100% recyclable. The bags and sticker sealers are manufactured in ‘food safe’, recyclable film as there are no harmful chemicals used in their manufacture. Therefore, all Cheeky Nibble packaging can be easily recycled from your own home.",https://www.cheekynibble.com/products/cherry-bakewell,y
ABCO,Cotton Cut-End Mops Narrow Band,Cleaning Products,"The most popular and economical mop style for nearly every hard floor cleaning task, Available in 4 ply and 8 ply. 100% cotton provides for maximum absorption and hold. Reinforced polyester 1 ¼” headband General Purpose use Available in standard Brik-Pak This product is certified by Green Seal ®️ for Environmental Innovation based on 100% post-industrial recovered blends resulting in significant reductions in greenhouse gas emissions, water consumption, & soil and water contamination, while establishing a circular supply chain with garment manufacturers.",https://abcoproducts.com/products/wet-dry-mopping-solutions/wet-mops/cotton-cut-end-mops-narrow-band,y
ABCO,Cut-End Dust Mops (Non-Launderable),Cleaning Products,3 ply yarn design made from ABCO’s environmentally friendly garment recycling process. Tie-less style backing made from heavy duty 100% polyester. Innovative construction allows for maximum surface contact. Heavy duty backing with reinforced surge stitching provides maximum durability Five rows of blended cut-end yarn provide maximum surface contact Slot pocket backing,https://abcoproducts.com/products/wet-dry-mopping-solutions/natura-yarn/cut-end-dust-mops-non-launderable,y
Afia,AFIA Earth Sense Certified Green Foaming Hand Soap,Hand Soap,"Afia™ EARTH SENSE® CERTIFIED GREEN Foaming Hand Cleaner is an environmentally responsible, “certified green” foaming hand cleaner made with no added dyes or fragrance, no phosphates or nonylphenol ethoxylate surfactants. Afia™ EARTH SENSE® CERTIFIED GREEN Foaming Hand Cleaner is formulated with no VOC’s, no silicates, no chelating agents or caustics and is completely biodegradable. Used with the Afia™ Hand Cleaner Dispenser, this product creates a rich lather that leaves hands clean, fresh and is gentle to even sensitive skin. Designed for maximum efficiency, Afia™ EARTH SENSE® CERTIFIED GREEN Foaming Hand Cleaner reduces overall amount of product that is recycled to the environment. Use Afia™ EARTH SENSE® CERTIFIED GREEN Foaming Hand Cleaner in: Schools, Universities, Institutions and Office Buildings.",https://certified.greenseal.org/product/afia-earth-sense-certified-green-foaming-hand-soap-national-chemical-laboratories-earth-sense,y
Gold Drop,ECO LINE - washing-up liquid,Cleaning Products,"This environmentally friendly washing-up liquid has been certified by the Polish Centre for Testing and Certification. Those certificates are awarded to products meeting the criteria of environmental friendliness as stipulated in the Regulation (EC) No 1980/2000 and the requirements contained in Decision 2005/342/EC of the Commission. Ecolabel (a flower) – an EU marking of environmentally friendly products is a main distinction awarded in Europe to products meeting higher environmental standards. Ecolabel was introduced in the year 1992. Ecoline fluid is extremely efficient, gentle on the hands, does not contain artificial substances or preservatives, therefore it is completely biodegradable. The liquid is intended for washing up kitchen utensils made of glass, metal and plastic. Specially selected surfactants efficiently remove food remnants and provide a high-gloss finish. Glycerine contained in the product conditions the palms. The liquid is safe for the environment, children and health, ideal for people who want to have a home without chemicals.",https://www.golddrop.eu/en/pdt/washing-up-liquid,y
Gold Drop,ECO LINE - Ecological all-purpose cleaner,Cleaning Products,"This environmentally friendly all-purpose cleaner has been certified by the Polish Centre for Testing and Certification. Those certificates are awarded to products meeting the criteria of environmental friendliness as stipulated in the Regulation (EC) No 1980/2000 and the requirements contained in Decision 2005/344/EC of the Commission. Ecolabel (a flower) – an EU marking of environmentally friendly products is a main distinction awarded in Europe to products meeting higher environmental standards. Ecolabel was introduced in the year 1992. All-purpose cleaner intended for cleaning wood, lacquered, ceramic and plastic (including PVC) surfaces, tiles, as well as floors and walls covered with panels. Do not use on untreated wooden surfaces. Proper dosing saves costs and reduces environmental impact to a minimum. Glycerine contained in the product conditions the palms. The product has been dermatologically tested, the composition of ingredients does not contain allergens, the product is completely natural and safe for human skin.",https://www.golddrop.eu/en/pdt/all-purpose-cleaner,y
Gold Drop,Vinegar-based natural products All-purpose cleaner + kitchen,Cleaning Products,"Its effective liquid formula is based on vinegar properties. The product is available in a 750ml spray bottle • Environmentally friendly formula • Free of microplastics • Vegan-friendly formulas • Recyclable packing Method of use: Spray on dirty areas and wipe off with a cloth. If heavily soiled, spray on and leave for about 5 minutes, then wipe off with a sponge or cloth. Rinse surfaces thoroughly with water after washing. Test the liquid in an inconspicuous area before use. Expiry date: 2 years from the date indicated on the packaging.",https://www.golddrop.eu/en/pdt/all-purpose-cleaner-kitchen,y
Sopalin,Sopalin® Maxi Expert,Scottex,"The ideal maxi reel for doing everything in and around the house! Find a reseller Practical to carry thanks to its handle. Easy to unroll like a traditional paper towel or from the center of the roll. A multitude of uses: decoration (painting, tapestry, etc.), DIY (renovation work, finishes, etc.), leisure activities (barbecue, camping, gardening, etc.). New: plastic packaging made from 40% recycled plastic and 100% recyclable. Sopalin® at the heart of your kitchen since 1948 and recognized as the French Favorite Brand.",https://sopalin.fr/nos-produits/sopalin-maxi-expert/?_gl=1*19i7pxf*_up*MQ..*_ga*MTA3ODcxOTI0Ny4xNzI3OTYzNTcw*_ga_MGNSGSBQB8*MTcyNzk2MzU2OS4xLjEuMTcyNzk2MzcwOC4wLjAuMA..*_ga_NKHJG29BTZ*MTcyNzk2MzU2OS4xLjEuMTcyNzk2MzcwOC4wLjAuMA..*_ga_HNN3XDNTPT*MTcyNzk2MzU2OS4xLjEuMTcyNzk2MzcwOC4wLjAuMA..,y
Regina,Regina Blitz,Scottex,"wrapped up in 100 % recyclable paper packaging. With 60 % larger than standard kitchen roll sheets, Regina Blitz is perfect for even the toughest jobs around the home. Ideal for mopping, shining, cleaning and dusting. It’s brilliant performance is even tough enough to tackle heavy DIY or garden mess, helping you make more of the moments that matter.3 ply sheets.Regina - Paper for People Made from pure cellulose. Regina Blitz is produced from FSC® certified raw materials, obtained from responsibly managed forests and controlled sources. Packaged in recyclable paper",https://www.regina.uk.com/products/household-towel/regina-blitz,y
Balance,BALANCE ecological dishwashing liquid,Cleaning Products,"Ecological dishwashing liquid BALANCE. Contains no flavourings, colorants, isolinones and phosphates. Suitable for manual dishwashing. Recommended by dermatologists for those with allergies and sensitive skin. Neutral pH. Especially gentle to hands. Does not dry hand skin, does not damage nails, and does not cause respiratory tract irritation. Easily decomposes biologically in the environment. Thick and transparent liquid forms a soft foam which effectively removes grease and food residue from dishes and glass, pottery, stone mass, and metal surfaces. Suitable for vegans The product is certified by „The Vegan Society“ and is suitable for vegans: it does not contain ingredients or by-products of animal origin and is cruelty free (not tested on animals).",http://ringuva.lt/en/Products/BALANCE-ecological-dishwashing-liquid-900-ml.html,y
Balance,BALANCE ecological cleaner for various kitchen surfaces and fridges,Cleaning Products,"Ecological BALANCE cleaner for various kitchen surfaces and fridges, 450 ml with a pump. Suitable for cleaning of various washable kitchen surfaces and household appliances. Thanks to a natural active substance—baking soda, the cleaner effectively dissolves grease, removes various types of dirt and neutralizes undesirable odors. It contains ethyl alcohol that has disinfectant properties, and the cleaned surfaces dry faster, leaving no streaks or fingerprints. Suitable for fridge cleaning—a special formula helps to remove a thin ice coating that is formed inside a fridge. The cleaner is safe to use near food. Gentle on hands. Allergen-free: contains no dyes and fragrances. The phosphate-free formula rapidly biodegrades in the environment.",http://ringuva.lt/en/Products/BALANCE-ecological-cleaner-for-various-kitchen-surfaces-and-fridges-450-ml.html,y
Balance,BALANCE eco-friendly soap detergent,Cleaning Products,"BALANCE eco-friendly soap detergent, sufficient for up to 12 loads, 350 g. Does not contain phosphates and optical brighteners. Contains no dyes or perfumes. Water soluble, washes out dirt, and does not harm the fabric. Clothes do not get electrified. Tested by тhe National Centre of Allergology, perfect for washing infant and allergy sufferers’ clothes, underwear and linen. The laundry detergent is economic – the same amount of clothes requires less detergent than most of washing powder. Using this EU Eco labelled product according to the dosage instructions will contribute to the reduction of water pollution, waste production and energy consumption.",http://ringuva.lt/en/Products/BALANCE-eco-friendly-soap-detergent-350-g.html,y
Balance,BALANCE ecological dishwasher gel,Cleaning Products,"Ecological, pH-neutral gel for dishwashers free from phosphates, chlorine, dyes and fragrances. Gel effectively dissolves grease and easily removes various dirt, food, coffee or tea residues from glass, ceramic, metal and other surfaces. Does not leave any limescale marks. Gel performs rinse function. Contains natural components that softens water and gives a shine to dishes, glasses and cutlery. 100 % biodegradable, friendly to people and environment.",http://ringuva.lt/en/Products/BALANCE-ecological-dishwasher-gel-500ml.html,y
Balance,BALANCE ecological dishwasher rinse aid,Cleaning Products,"BALANCE ecological dishwasher rinse aid. Contains no fragrances, colorants, isolinones and phosphates. The rinse aid helps with quick drying, leaving no water traces or spots on the clean dishes and giving them a natural shine. Protects your dishes from calcium deposits. Biodegradable. Suitable for vegans The product is certified by „The Vegan Society“ and is suitable for vegans: it does not contain ingredients or by-products of animal origin and is cruelty free (not tested on animals).",http://ringuva.lt/en/Products/BALANCE-ecological-dishwasher-rinse-aid-450-ml.html,y
Balance,BALANCE universal cleaner,Cleaning Products,"Universal cleaner BALANCE with spray. Natural, made of vegetable oils, readily bio-degradable. Intended for cleaning of different surfaces.",http://ringuva.lt/en/Products/BALANCE-universal-cleaner-500-ml.html,y
Sutter,Emerald,Cleaning Products,"Features Universal concentrated detergent for the cleaning of all hard surfaces. Excellent also for scrubbing machine. Effective on persistent dirt. Also suitable for the cleaning of internal surfaces within boats, ships and other transports. It contains vegetal origin raw materials (e.g. surfactants) coming from the processing of corn, potatoes, sugar beet and coconut oil. Citrus scent, allergen-free (Reg. 648/2004). Phosphate and nickel-free (less than 0.01 ppm). Dermatologically tested product (human patch test - not tested on animals). The absence of CLP warning signs means that the product is safe both for the operator and the environment, provided it is used according to the usage instructions and to the other information on the label. Ecolabel-certified: IT/020/009.",https://www.sutterprofessional.it/en/product/1133-emerald,y
Sutter,RB-2 (Zero),Cleaning Products,"Universal concentrated detergent for the cleaning of all hard surfaces. Excellent also for scrubbing machine. Effective on persistent dirt. Citrus scent , allergen-free (Reg. 648/2004). It contains vegetal origin raw materials (e.g. surfactants) coming from the processing of corn, potatoes, sugar beet and coconut oil. Phosphate and nickel-free (less than 0.01 ppm). Dermatologically tested product (human patch test - not tested on animals). The absence of CLP warning signs means that the product is safe both for the operator and the environment, provided it is used according to the usage instructions and to the other information on the label.",https://www.sutterprofessional.it/en/product/1176-rb-2-zero,y
Estko,K-Expert 1 DishWash,Cleaning Products,"PROPERTIES: Biodegradable surfactants in compound remove effectively grease and other dirt even with cold water. Leaves glass surfaces and dishes with a bright finish. Gentle on skin. K-Expert 1 has a pleasant fruity scent. DOSAGE: 2 ml/0.5 teaspoonful (slightly dirty dishes) and 5 ml/1 teaspoonful (dirty dishes) of detergent in 5 litres of water. Exact amount required depends upon the soil load and the number of dishes washed. Do not use running water but immerse the dishes, and use the recommended dosage COMPOSITION: anionic surfactants 5-15%, nonionic surfactants <5%, amphoteric surfactants <5%, fragrance, 2-phenoxyethanol. pH: pH 7 PRECAUTIONARY MEASURES: Causes skin irritation. Causes serious eye damage. Wear protective gloves. IF IN EYES: Rinse cautiously with water for several minutes. To remove the contact lenses, when used and as they are easy to remove. Flush again. ENVIRONMENT: The package is from PE; clean package can be recycled. Transport packaging consists of reusable corrugated board and polyethylene film.",https://estko.ee/tooted/k-expert-1-dishwash/?lang=en,y
Agisol,AGISOL Gel WC Ecológico,Cleaning Products,"Detergent specially developed to effectively clean the toilet. Formula in gel to adhere to the toilet walls for longer and thus prolong the effect of cleaning and removing limescale and ferrous deposits from the toilet. Your surfactants biodegradable products comply with the European Commission's criteria for products with a label ecological and ensure a lower environmental impact. Ecolabel products must pass through rigorous performance tests carried out by independent laboratories, are better for the environment and guarantee a sustainable economy through the use of raw materials from renewable sources. Its particularly active and persistent ensures a fragrant and pleasant environment in the bathroom. Pleasant and persistent perfume; Reduced impact on the aquatic environment;",https://www.solis.pt/loja/agisol-gel-wc-ecologico/,y
Agisol,AGISOL Limpa Madeiras Ecológico,Cleaning Products,"Product developed to clean and care for wood. The Ecological Wood Cleaner has cleaning agents that clean in depth without damaging the wood, returning the original shine to treated surfaces. Dries quickly and leaves no residue. Its biodegradable surfactants comply with the European Commission's criteria for products with an eco-label and ensure a lower environmental impact. The products Ecolabel must undergo rigorous performance tests carried out by laboratories independent, are better for the environment and guarantee a sustainable economy through the use of raw materials from renewable sources. Cleans and removes stains; Protects and renews surfaces; Ecolabel certified.",https://www.solis.pt/loja/agisol-limpa-madeiras-ecologico/,y
Saraya,Happy Elephant Auto Dishwasher,Cleaning Products,"Unscented dishwasher gel for your washing machine made with 100% food-grade ingredients. Easily removes dirt and sticky oil stains, maintaining your tableware clean and shiny. Eliminates any cloudiness in glass. Made with Soforo, Happy Elephant is made with natural 100% food-grade Ingredients. All ingredients completely dissolve in water, leaving no trace behind. Contains no synthetic surfactants, bleaching agents, coloring agents nor synthetic fragrances. Made with RSPO sustainable palm oil.",https://saraya.world/consumer/products-consumers/cleaning-consumer/happy-elephant-auto-dishwasher,y
Saraya,Happy Elephant Laundry Powder,Cleaning Products,"Made with Soforo, Happy Elephant is made with natural 100% Food-Grade Ingredients. With no ingredients that can cause stress on the skin, it is suitable for skin-sensitive adults and children. All ingredients completely dissolve in water, leaving no residue on your clothing. Does not use any synthetic petroleum-based surfactants, optical brighteners, bleaches, perfumes or colorants. Made with RSPO sustainable palm oil.",https://saraya.world/consumer/products-consumers/cleaning-consumer/happy-elephant-laundry-powder,y
Saraya,Happy Elephant Bathroom Cleaner,Cleaning Products,"100% botanical based cleaning agent that comes as a thick foam to remove dirt, oil and soap residue completely from your bathtub and bathroom. Foam type spray, gets rid of limescale with ease. No synthetic fragrance, just a natural scent of grapefruit that lingers and brightens your bathroom. Made with Soforo, Happy Elephant is made with natural 100% food-grade Ingredients. All ingredients completely dissolve in water, leaving no trace behind. Contains no synthetic surfactants, bleaching agents, coloring agents nor synthetic fragrances, made with RSPO sustainable palm oil.",https://saraya.world/consumer/products-consumers/cleaning-consumer/happy-elephant-bathroom-cleaner,y
